reason,source,nft_id,original_name,metadata_urls
leading-underscore,namesdao,nft100n44qf4v80qm43qgc468zuzstdtmwdmgqhdtjh72a0l30k22qms35wcgx,_wagmi,https://storage1.xchstorage.cyou/namesdao/_wagmi-4508937.json|https://storage2.xchstorage.cyou/namesdao/_wagmi-4508937.json|ipfs://bafyreifyhmnxzizud6h2umkikx7dzqxuyivecsiusklcl464gla6etizta/metadata.json
leading-underscore,namesdao,nft103fn48wspshzxx656x00f0fjkthzeg0v6d5eg8u4ymad45v5ftgsue9n9c,_free123,https://storage1.xchstorage.cyou/namesdao/_free123-4099775.json|https://storage2.xchstorage.cyou/namesdao/_free123-4099775.json|ipfs://bafyreic5fibx3cahsy72xhpdzdgthcamuenmhm75r5filoegamihae3spy/metadata.json
leading-underscore,namesdao,nft104h8pqpp0vhav3fjjwwyvxln5jnaju0jc82ezqv062gmqhxrfcrqy6wulm,___moonbirds,https://storage1.xchstorage.cyou/namesdao/___moonbirds-4077418.json|https://storage2.xchstorage.cyou/namesdao/___moonbirds-4077418.json|ipfs://bafyreihver6uh6bh3nzpm47ncqkp4wpopc3tg2lsx7zfgreeqbgkl3vahi/metadata.json
leading-underscore,namesdao,nft104j45uc7gpnhfe95sdglu2r7wj0k46vtwflq9258k09e8etdnx5q4vwngr,_honda,https://storage1.xchstorage.cyou/namesdao/_honda-4514166.json|https://storage2.xchstorage.cyou/namesdao/_honda-4514166.json|ipfs://bafyreiaugfa3qthcmqzpc537o5ataozokqij6fgx6nf3bngzefwsknex7m/metadata.json
leading-underscore,namesdao,nft104kdl4ccj72yu6shh077wyqagg2znvuujaqz5druanvyxhhurluqrqnn7s,___universe,https://storage1.xchstorage.cyou/namesdao/___universe-6324041.json|https://storage2.xchstorage.cyou/namesdao/___universe-6324041.json|ipfs://bafyreidygz2rqmimio27niadktsujxv6ppixp2354sa3ehvt6zvvun3uca/metadata.json
leading-underscore,namesdao,nft105a9zsg6vk7s9nnd26x2em7q0wxy489ammvazep225mj6jml9jgsl805pq,___bnpparibas,https://storage1.xchstorage.cyou/namesdao/___bnpparibas-4099125.json|https://storage2.xchstorage.cyou/namesdao/___bnpparibas-4099125.json|ipfs://bafyreibepvzo5rrkvmqc5ihtiqr5altdztsmy46e7pdatikr6lieutdppi/metadata.json
leading-underscore,namesdao,nft105g09cwfg62jf3c47jhue4v9zlt68pxc7mg32xn07n65vaf7jy2qy7vplm,_descinft,https://storage1.xchstorage.cyou/namesdao/_descinft-4098193.json|https://storage2.xchstorage.cyou/namesdao/_descinft-4098193.json|ipfs://bafyreiao6cn4rkqqjyjm746vvptsibw2wigk6hgyqzbfev7i7dq5mtw7vq/metadata.json
leading-underscore,namesdao,nft105z2mh2gmfmew2jvufx66f35rjtcy0tuds7vsrveh57lktfgktaqahkek7,___fazeclan,https://storage1.xchstorage.cyou/namesdao/___fazeclan-4229755.json|https://storage2.xchstorage.cyou/namesdao/___fazeclan-4229755.json|ipfs://bafyreihykvv75e3cph7pulgsl4dgwx7of4qlodrkff7p4pqobumnxpwe3e/metadata.json
leading-underscore,namesdao,nft1077hyf2ueuj6ufr6qfjz9texldhxuzag8txgrefszmf32jzwnyss06j4py,___mainnet,https://storage1.xchstorage.cyou/namesdao/___mainnet-4071088.json|ipfs://bafyreidjif3z65eguo3at2g6qhiuj62mnqsjpr47nauf4gmjwl23le4qry/metadata.json
leading-underscore,namesdao,nft107dk7a3m6al8lhe4neydfwhk8k3kgm0800gyrpqggy089auqajyqc028vj,_biontech,https://storage1.xchstorage.cyou/namesdao/_biontech-4510393.json|https://storage2.xchstorage.cyou/namesdao/_biontech-4510393.json|ipfs://bafyreidnpwizknylkqlw3xcq46657bloi2jhflb4fsrjfhvkscnows2ynu/metadata.json
